Score Age Subject Sex ID Score Subject Score Subject
88 18 Maths 1 1 84 Physics 82 "Data Structue"
85 19 Maths 1 2 81 Physics 79 "Data Structue"
45 19 Maths 1 3 41 Physics 39 "Data Structue"
82 18 Maths 1 4 78 Physics 76 "Data Structue"
82 18 Maths 2 5 78 Physics 76 "Data Structue"
95 20 Maths 1 6 91 Physics 89 "Data Structue"
95 18 Maths 1 7 91 Physics 89 "Data Structue"
65 19 Maths 1 8 61 Physics 59 "Data Structue"
88 18 Maths 1 9 84 Physics 82 "Data Structue"
88 19 Maths 2 10 84 Physics 82 "Data Structue"
53 20 Maths 1 11 49 Physics 47 "Data Structue"
53 20 Maths 1 12 49 Physics 47 "Data Structue"
66 19 Maths 1 13 62 Physics 60 "Data Structue"
88 18 Maths 1 14 84 Physics 82 "Data Structue"
88 21 Maths 2 15 84 Physics 82 "Data Structue"
82 20 Maths 1 16 78 Physics 76 "Data Structue"
31 18 Maths 1 17 0 Physics 25 "Data Structue"
95 18 Maths 1 18 91 Physics 89 "Data Structue"
91 18 Maths 1 19 87 Physics 85 "Data Structue"
66 18 Maths 2 20 62 Physics 60 "Data Structue"
82 18 Maths 1 21 78 Physics 76 "Data Structue"
66 18 Maths 1 22 62 Physics 60 "Data Structue"
75 18 Maths 1 23 71 Physics 69 "Data Structue"
65 19 Maths 1 24 61 Physics 59 "Data Structue"
91 20 Maths 2 25 87 Physics 85 "Data Structue"
91 18 Maths 1 26 87 Physics 85 "Data Structue"
53 20 Maths 1 27 49 Physics 47 "Data Structue"
91 20 Maths 1 28 87 Physics 85 "Data Structue"
88 21 Maths 1 29 84 Physics 82 "Data Structue"
85 19 Maths 2 30 81 Physics 79 "Data Structue"
75 20 Maths 1 31 71 Physics 69 "Data Structue"
66 21 Maths 1 32 62 Physics 60 "Data Structue"
45 19 Maths 1 33 41 Physics 39 "Data Structue"
66 18 Maths 1 34 94 Physics 0 "Data Structue"
53 20 Maths 2 35 49 Physics 47 "Data Structue"
65 19 Maths 1 36 61 Physics 59 "Data Structue"
53 18 Maths 1 37 49 Physics 47 "Data Structue"
75 20 Maths 1 38 71 Physics 69 "Data Structue"
45 18 Maths 1 39 41 Physics 39 "Data Structue"
66 19 Maths 2 40 62 Physics 60 "Data Structue"
75 20 Maths 1 41 71 Physics 69 "Data Structue"
95 20 Maths 1 42 91 Physics 89 "Data Structue"
65 21 Maths 1 43 61 Physics 59 "Data Structue"
85 18 Maths 1 44 81 Physics 79 "Data Structue"
82 20 Maths 2 45 78 Physics 76 "Data Structue"
65 21 Maths 1 46 61 Physics 59 "Data Structue"
85 21 Maths 1 47 81 Physics 79 "Data Structue"
82 18 Maths 1 48 78 Physics 76 "Data Structue"
65 18 Maths 1 49 61 Physics 59 "Data Structue"
66 19 Maths 2 50 62 Physics 60 "Data Structue"
82 18 Maths 1 51 78 Physics 76 "Data Structue"
88 19 Maths 1 52 84 Physics 82 "Data Structue"
0 19 Maths 1 53 41 Physics 39 "Data Structue"
95 20 Maths 1 54 91 Physics 89 "Data Structue"
88 21 Maths 2 55 84 Physics 82 "Data Structue"
91 18 Maths 1 56 87 Physics 85 "Data Structue"
53 20 Maths 1 57 49 Physics 47 "Data Structue"
75 20 Maths 1 58 71 Physics 69 "Data Structue"
75 20 Maths 1 59 71 Physics 69 "Data Structue"
95 18 Maths 2 60 91 Physics 89 "Data Structue"
88 19 Maths 1 61 84 Physics 82 "Data Structue"
53 18 Maths 1 62 49 Physics 47 "Data Structue"
82 20 Maths 1 63 78 Physics 76 "Data Structue"
82 18 Maths 1 64 78 Physics 76 "Data Structue"
85 21 Maths 2 65 81 Physics 79 "Data Structue"
45 21 Maths 1 66 0 Physics 39 "Data Structue"
75 20 Maths 1 67 71 Physics 69 "Data Structue"
66 21 Maths 1 68 62 Physics 60 "Data Structue"
45 19 Maths 1 69 41 Physics 39 "Data Structue"
75 20 Maths 2 70 71 Physics 69 "Data Structue"
53 20 Maths 1 71 49 Physics 47 "Data Structue"
65 21 Maths 1 72 61 Physics 59 "Data Structue"
53 20 Maths 1 73 49 Physics 47 "Data Structue"
85 19 Maths 1 74 81 Physics 79 "Data Structue"
82 18 Maths 2 75 78 Physics 76 "Data Structue"
95 20 Maths 1 76 91 Physics 89 "Data Structue"
66 19 Maths 1 77 62 Physics 60 "Data Structue"
53 20 Maths 1 78 49 Physics 47 "Data Structue"
65 18 Maths 1 79 61 Physics 59 "Data Structue"
85 19 Maths 2 80 81 Physics 79 "Data Structue"
88 19 Maths 1 81 84 Physics 82 "Data Structue"
95 18 Maths 1 82 91 Physics 89 "Data Structue"
53 20 Maths 1 83 49 Physics 47 "Data Structue"
45 19 Maths 1 84 41 Physics 39 "Data Structue"
45 21 Maths 2 85 41 Physics 39 "Data Structue"
85 18 Maths 1 86 81 Physics 79 "Data Structue"
45 19 Maths 1 87 90 Physics 0 "Data Structue"
85 21 Maths 1 88 81 Physics 79 "Data Structue"
45 18 Maths 1 89 41 Physics 39 "Data Structue"
45 21 Maths 2 90 41 Physics 39 "Data Structue"
85 19 Maths 1 91 0 Physics 79 "Data Structue"
88 19 Maths 1 92 84 Physics 82 "Data Structue"
85 19 Maths 1 93 81 Physics 79 "Data Structue"
91 18 Maths 1 94 87 Physics 85 "Data Structue"
65 19 Maths 2 95 61 Physics 59 "Data Structue"
75 18 Maths 1 96 71 Physics 69 "Data Structue"
88 19 Maths 1 97 84 Physics 82 "Data Structue"
95 18 Maths 1 98 91 Physics 89 "Data Structue"
65 21 Maths 1 99 61 Physics 59 "Data Structue"
65 19 Maths 2 100 61 Physics 59 "Data Structue"
45 18 Maths 1 101 41 Physics 39 "Data Structue"
53 20 Maths 1 102 49 Physics 47 "Data Structue"
95 18 Maths 1 103 91 Physics 89 "Data Structue"
66 21 Maths 1 104 62 Physics 60 "Data Structue"
82 18 Maths 2 105 78 Physics 76 "Data Structue"
65 19 Maths 1 106 61 Physics 59 "Data Structue"
45 21 Maths 1 107 0 Physics 39 "Data Structue"
85 21 Maths 1 108 81 Physics 79 "Data Structue"
45 19 Maths 1 109 0 Physics 39 "Data Structue"
85 21 Maths 2 110 81 Physics 79 "Data Structue"
65 21 Maths 1 111 61 Physics 59 "Data Structue"
85 18 Maths 1 112 81 Physics 79 "Data Structue"
88 19 Maths 1 113 84 Physics 82 "Data Structue"
45 19 Maths 1 114 41 Physics 39 "Data Structue"
95 20 Maths 2 115 91 Physics 89 "Data Structue"
88 21 Maths 1 116 84 Physics 82 "Data Structue"
75 18 Maths 1 117 71 Physics 69 "Data Structue"
53 20 Maths 1 118 49 Physics 47 "Data Structue"
82 20 Maths 1 119 78 Physics 76 "Data Structue"
85 21 Maths 2 120 81 Physics 79 "Data Structue"
91 18 Maths 1 121 87 Physics 85 "Data Structue"
88 18 Maths 1 122 0 Physics 82 "Data Structue"
85 21 Maths 1 123 81 Physics 79 "Data Structue"
45 19 Maths 1 124 41 Physics 39 "Data Structue"
53 18 Maths 2 125 49 Physics 47 "Data Structue"
95 20 Maths 1 126 91 Physics 89 "Data Structue"
45 21 Maths 1 127 41 Physics 39 "Data Structue"
75 20 Maths 1 128 71 Physics 69 "Data Structue"
66 21 Maths 1 129 62 Physics 60 "Data Structue"
75 18 Maths 2 130 71 Physics 69 "Data Structue"
66 18 Maths 1 131 62 Physics 60 "Data Structue"
75 20 Maths 1 132 71 Physics 69 "Data Structue"
53 18 Maths 1 133 49 Physics 47 "Data Structue"
85 18 Maths 1 134 81 Physics 79 "Data Structue"
85 18 Maths 2 135 81 Physics 79 "Data Structue"
65 21 Maths 1 136 61 Physics 59 "Data Structue"
65 21 Maths 1 137 61 Physics 59 "Data Structue"
91 20 Maths 1 138 87 Physics 85 "Data Structue"
85 21 Maths 1 139 81 Physics 79 "Data Structue"
45 21 Maths 2 140 88 Physics 0 "Data Structue"
82 18 Maths 1 141 78 Physics 76 "Data Structue"
95 20 Maths 1 142 91 Physics 89 "Data Structue"
85 18 Maths 1 143 81 Physics 79 "Data Structue"
66 18 Maths 1 144 62 Physics 60 "Data Structue"
88 21 Maths 2 145 84 Physics 82 "Data Structue"
82 20 Maths 1 146 78 Physics 76 "Data Structue"
53 18 Maths 1 147 49 Physics 47 "Data Structue"
88 19 Maths 1 148 84 Physics 82 "Data Structue"
45 18 Maths 1 149 41 Physics 39 "Data Structue"
65 21 Maths 2 150 61 Physics 59 "Data Structue"
95 18 Maths 1 151 91 Physics 89 "Data Structue"
31 18 Maths 1 152 27 Physics 25 "Data Structue"
66 18 Maths 1 153 62 Physics 60 "Data Structue"
45 19 Maths 1 154 41 Physics 39 "Data Structue"
53 18 Maths 2 155 49 Physics 47 "Data Structue"
45 19 Maths 1 156 41 Physics 39 "Data Structue"
53 18 Maths 1 157 49 Physics 47 "Data Structue"
91 18 Maths 1 158 87 Physics 85 "Data Structue"
85 19 Maths 1 159 81 Physics 79 "Data Structue"
53 18 Maths 2 160 49 Physics 47 "Data Structue"
88 18 Maths 1 161 84 Physics 82 "Data Structue"
88 18 Maths 1 162 81 Physics 0 "Data Structue"
82 18 Maths 1 163 78 Physics 76 "Data Structue"
85 19 Maths 1 164 81 Physics 79 "Data Structue"
45 18 Maths 2 165 41 Physics 39 "Data Structue"
82 20 Maths 1 166 78 Physics 76 "Data Structue"
91 18 Maths 1 167 87 Physics 85 "Data Structue"
65 19 Maths 1 168 61 Physics 59 "Data Structue"
65 19 Maths 1 169 61 Physics 59 "Data Structue"
75 18 Maths 2 170 71 Physics 69 "Data Structue"
88 18 Maths 1 171 84 Physics 82 "Data Structue"
65 18 Maths 1 172 61 Physics 59 "Data Structue"
53 20 Maths 1 173 49 Physics 47 "Data Structue"
88 19 Maths 1 174 84 Physics 82 "Data Structue"
45 19 Maths 2 175 41 Physics 39 "Data Structue"
95 18 Maths 1 176 91 Physics 89 "Data Structue"
75 18 Maths 1 177 71 Physics 69 "Data Structue"
53 20 Maths 1 178 49 Physics 47 "Data Structue"
53 18 Maths 1 179 49 Physics 47 "Data Structue"
95 18 Maths 2 180 91 Physics 89 "Data Structue"
95 20 Maths 1 181 91 Physics 89 "Data Structue"
85 19 Maths 1 182 81 Physics 79 "Data Structue"
88 19 Maths 1 183 84 Physics 82 "Data Structue"
